Id	Description	Qty	Unit	Designators
1	Connector, IDC, female, 6 pins	4		X0, X1, X2, X3
2	Wire, 1.27mm Pitch Ribbon Cable, 26 AWG, GY	1.6	m	W1, W2, W3
3	Wire, 1.27mm Pitch Ribbon Cable, 26 AWG, RD	0.32	m	W1, W2, W3
