Id	Description	Qty	Unit	Designators
1	Connector, IDC, female, 6 pins	3		X48, X49, X50
2	Wire, 1.27mm Pitch Ribbon Cable, 26 AWG, GY	0.3	m	W1, W2
3	Wire, 1.27mm Pitch Ribbon Cable, 26 AWG, RD	0.06	m	W1, W2
