Id	Description	Qty	Unit	Designators
1	Cable, 6 x 22 AWG	0.1	m	W1
2	Connector, Molex PicoBlade 53261-0671 1x06, female, 6 pins	1		X1
3	Connector, Stripped Wire	6		
